,CATEGORY,PARENT_CATEGORY,BRAND,OFFER,RETAILER,OFFER_PREPROCESSED
242,dips salsa,snacks,hidden valley ranch,Hidden Valley® Ranch Seasoning Shaker,nan,hidden valley ranch seasoning shaker
243,dips salsa,snacks,hidden valley ranch,"Hidden Valley® Ranch Night Seasoning Mix, 1 count",nan,hidden valley ranch night seasoning mix 1 count
244,sauces marinades,pantry,hidden valley ranch,"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",nan,hidden valley ranch salad dressing or secret sauce select varieties
245,sauces marinades,pantry,hidden valley ranch,"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",nan,hidden valley ranch seasoning mix packet 1 count
246,sauces marinades,pantry,hidden valley ranch,"Hidden Valley® Ranch Seasoning, select varieties",nan,hidden valley ranch seasoning select varieties
247,sauces marinades,pantry,hidden valley ranch,Hidden Valley® Ranch Seasoning Shaker,nan,hidden valley ranch seasoning shaker
248,sauces marinades,pantry,hidden valley ranch,"Hidden Valley® Ranch Night Seasoning Mix, 1 count",nan,hidden valley ranch night seasoning mix 1 count
249,cooking baking,pantry,kradle,"Kradle, select varieties, spend $20 at Walmart",walmart,kradle select varieties spend 20 at walmart
250,cooking baking,pantry,kradle,"Kradle, select products, online at Chewy.com",chewy,kradle select products online at chewycom
251,cooking baking,pantry,kradle,"Kradle, select varieties, online at Amazon",amazon,kradle select varieties online at amazon
252,cooking baking,pantry,kradle,"Kradle, select varieties, at Pet Supplies Plus",pet supplies plus,kradle select varieties at pet supplies plus
253,dog supplies,animals pet supplies,kradle,"Kradle, select varieties, spend $20 at Walmart",walmart,kradle select varieties spend 20 at walmart
254,dog supplies,animals pet supplies,kradle,"Kradle, select products, online at Chewy.com",chewy,kradle select products online at chewycom
255,dog supplies,animals pet supplies,kradle,"Kradle, select varieties, online at Amazon",amazon,kradle select varieties online at amazon
256,dog supplies,animals pet supplies,kradle,"Kradle, select varieties, at Pet Supplies Plus",pet supplies plus,kradle select varieties at pet supplies plus
257,cooking baking,pantry,bjs wholesale,Sign up for The Club Card or The Club+ Card full-priced membership* (New Members Only),bjs wholesale,sign up for the club card or the club card full priced membership new members only
258,cooking baking,pantry,caseys general store,Order from Casey's app or Caseys.com,caseys general store,order from caseys app or caseyscom
259,cooking baking,pantry,caseys general store,Spend $25 at Casey's,caseys general store,spend 25 at caseys
260,cooking baking,pantry,caseys general store,Spend $5 in-store at Casey's,caseys general store,spend 5 in store at caseys
261,cooking baking,pantry,caseys general store,Select beverages AND prepared food items at Casey's,caseys general store,select beverages and prepared food items at caseys
262,cooking baking,pantry,caseys general store,Visit OR order online from Casey's 7 times,caseys general store,visit or order online from caseys 7 times
263,cooking baking,pantry,caseys general store,Spend $5 on single-serve prepared food items at Casey's,caseys general store,spend 5 on single serve prepared food items at caseys
264,cooking baking,pantry,caseys general store,12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's,caseys general store,12 pack or 2 liter and whole pizza pie at caseys
265,cooking baking,pantry,caseys general store,Whole Pizza at Casey's,caseys general store,whole pizza at caseys
266,cooking baking,pantry,caseys general store,Wings OR Cheesy Breadsticks at Casey's,caseys general store,wings or cheesy breadsticks at caseys
267,cooking baking,pantry,caseys general store,Whole Pizza Pie at Casey's,caseys general store,whole pizza pie at caseys
268,cooking baking,pantry,caseys general store,Frozen OR Fountain Drink at Casey's,caseys general store,frozen or fountain drink at caseys
269,cooking baking,pantry,caseys general store,Spend $10 in-store at Casey's,caseys general store,spend 10 in store at caseys
270,cooking baking,pantry,caseys general store,"Fresh bakery item, select varieties, at Casey's",caseys general store,fresh bakery item select varieties at caseys
271,cooking baking,pantry,caseys general store,Whole pizza at Casey's,caseys general store,whole pizza at caseys
272,cooking baking,pantry,caseys general store,12 Pack OR 2 Liter AND Whole Pizza at Casey's,caseys general store,12 pack or 2 liter and whole pizza at caseys
273,cooking baking,pantry,caseys general store,Frozen OR Fountain Drink at Casey's ,caseys general store,frozen or fountain drink at caseys
274,cooking baking,pantry,caseys general store,Visit OR order online from Casey's 3 times,caseys general store,visit or order online from caseys 3 times
275,cooking baking,pantry,caseys general store,Visit OR order online from Casey's 5 times,caseys general store,visit or order online from caseys 5 times
276,cooking baking,pantry,caseys general store,12 pack OR 2 liter AND Whole Pizza at Casey's,caseys general store,12 pack or 2 liter and whole pizza at caseys
277,cooking baking,pantry,caseys general store,Whole Pizza at Casey's ,caseys general store,whole pizza at caseys
278,cooking baking,pantry,caseys general store,"Fresh Bakery Products at Casey's, select varieties",caseys general store,fresh bakery products at caseys select varieties
279,cooking baking,pantry,caseys general store,Spend $10 on Casey's branded packaged products,caseys general store,spend 10 on caseys branded packaged products
280,cooking baking,pantry,caseys general store,2 Pack OR 2 Liter AND Whole Pizza at Casey's,caseys general store,2 pack or 2 liter and whole pizza at caseys
281,cooking baking,pantry,caseys general store,Select Beverages AND Prepared Food Item at Casey's,caseys general store,select beverages and prepared food item at caseys
282,cooking baking,pantry,caseys general store,"Fresh Bakery items, select varieties, at Casey's",caseys general store,fresh bakery items select varieties at caseys
283,cooking baking,pantry,caseys general store,Spend $5 on brisket mac & cheese sandwich OR other single-serve prepared food item,caseys general store,spend 5 on brisket mac cheese sandwich or other single serve prepared food item
284,frozen pizza pizza snacks,frozen,caseys general store,Order from Casey's app or Caseys.com,caseys general store,order from caseys app or caseyscom
285,frozen pizza pizza snacks,frozen,caseys general store,Spend $25 at Casey's,caseys general store,spend 25 at caseys
286,frozen pizza pizza snacks,frozen,caseys general store,Spend $5 in-store at Casey's,caseys general store,spend 5 in store at caseys
287,frozen pizza pizza snacks,frozen,caseys general store,Select beverages AND prepared food items at Casey's,caseys general store,select beverages and prepared food items at caseys
288,frozen pizza pizza snacks,frozen,caseys general store,Visit OR order online from Casey's 7 times,caseys general store,visit or order online from caseys 7 times
289,frozen pizza pizza snacks,frozen,caseys general store,Spend $5 on single-serve prepared food items at Casey's,caseys general store,spend 5 on single serve prepared food items at caseys
290,frozen pizza pizza snacks,frozen,caseys general store,12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's,caseys general store,12 pack or 2 liter and whole pizza pie at caseys
291,frozen pizza pizza snacks,frozen,caseys general store,Whole Pizza at Casey's,caseys general store,whole pizza at caseys
292,frozen pizza pizza snacks,frozen,caseys general store,Wings OR Cheesy Breadsticks at Casey's,caseys general store,wings or cheesy breadsticks at caseys
293,frozen pizza pizza snacks,frozen,caseys general store,Whole Pizza Pie at Casey's,caseys general store,whole pizza pie at caseys
294,frozen pizza pizza snacks,frozen,caseys general store,Frozen OR Fountain Drink at Casey's,caseys general store,frozen or fountain drink at caseys
295,frozen pizza pizza snacks,frozen,caseys general store,Spend $10 in-store at Casey's,caseys general store,spend 10 in store at caseys
296,frozen pizza pizza snacks,frozen,caseys general store,"Fresh bakery item, select varieties, at Casey's",caseys general store,fresh bakery item select varieties at caseys
297,frozen pizza pizza snacks,frozen,caseys general store,Whole pizza at Casey's,caseys general store,whole pizza at caseys
298,frozen pizza pizza snacks,frozen,caseys general store,12 Pack OR 2 Liter AND Whole Pizza at Casey's,caseys general store,12 pack or 2 liter and whole pizza at caseys
299,frozen pizza pizza snacks,frozen,caseys general store,Frozen OR Fountain Drink at Casey's ,caseys general store,frozen or fountain drink at caseys
300,frozen pizza pizza snacks,frozen,caseys general store,Visit OR order online from Casey's 3 times,caseys general store,visit or order online from caseys 3 times
301,frozen pizza pizza snacks,frozen,caseys general store,Visit OR order online from Casey's 5 times,caseys general store,visit or order online from caseys 5 times
302,frozen pizza pizza snacks,frozen,caseys general store,12 pack OR 2 liter AND Whole Pizza at Casey's,caseys general store,12 pack or 2 liter and whole pizza at caseys
303,frozen pizza pizza snacks,frozen,caseys general store,Whole Pizza at Casey's ,caseys general store,whole pizza at caseys
304,frozen pizza pizza snacks,frozen,caseys general store,"Fresh Bakery Products at Casey's, select varieties",caseys general store,fresh bakery products at caseys select varieties
305,frozen pizza pizza snacks,frozen,caseys general store,Spend $10 on Casey's branded packaged products,caseys general store,spend 10 on caseys branded packaged products
306,frozen pizza pizza snacks,frozen,caseys general store,2 Pack OR 2 Liter AND Whole Pizza at Casey's,caseys general store,2 pack or 2 liter and whole pizza at caseys
307,frozen pizza pizza snacks,frozen,caseys general store,Select Beverages AND Prepared Food Item at Casey's,caseys general store,select beverages and prepared food item at caseys
308,frozen pizza pizza snacks,frozen,caseys general store,"Fresh Bakery items, select varieties, at Casey's",caseys general store,fresh bakery items select varieties at caseys
309,frozen pizza pizza snacks,frozen,caseys general store,Spend $5 on brisket mac & cheese sandwich OR other single-serve prepared food item,caseys general store,spend 5 on brisket mac cheese sandwich or other single serve prepared food item
310,cooking baking,pantry,cvs,Spend $10 at CVS,cvs,spend 10 at cvs
311,cooking baking,pantry,cvs,Spend $30 at CVS,cvs,spend 30 at cvs
312,skin care,health wellness,cvs,Spend $10 at CVS,cvs,spend 10 at cvs
313,skin care,health wellness,cvs,Spend $30 at CVS,cvs,spend 30 at cvs
314,fruit juices,beverages,cvs,Spend $10 at CVS,cvs,spend 10 at cvs
315,fruit juices,beverages,cvs,Spend $30 at CVS,cvs,spend 30 at cvs
316,medicines treatments,health wellness,cvs,Spend $10 at CVS,cvs,spend 10 at cvs
317,medicines treatments,health wellness,cvs,Spend $30 at CVS,cvs,spend 30 at cvs
318,cooking baking,pantry,fresh step,Fresh Step® Outstretch® Cat Litter,nan,fresh step outstretch cat litter
319,bakery,deli bakery,fresh step,Fresh Step® Outstretch® Cat Litter,nan,fresh step outstretch cat litter
320,hair care,health wellness,fresh step,Fresh Step® Outstretch® Cat Litter,nan,fresh step outstretch cat litter
321,makeup,beauty,fresh step,Fresh Step® Outstretch® Cat Litter,nan,fresh step outstretch cat litter
322,bath body,health wellness,fresh step,Fresh Step® Outstretch® Cat Litter,nan,fresh step outstretch cat litter
323,medicines treatments,health wellness,fresh step,Fresh Step® Outstretch® Cat Litter,nan,fresh step outstretch cat litter
324,cooking baking,pantry,bio oil,"Bio-Oil® Skincare Oil OR Gel, select varieties",nan,bio oil skincare oil or gel select varieties
325,cooking baking,pantry,bio oil,"Bio-Oil® products, select varieties",nan,bio oil products select varieties
326,skin care,health wellness,bio oil,"Bio-Oil® Skincare Oil OR Gel, select varieties",nan,bio oil skincare oil or gel select varieties
327,skin care,health wellness,bio oil,"Bio-Oil® products, select varieties",nan,bio oil products select varieties
328,cooking baking,pantry,star market,Spend $90 at Star Market,star market,spend 90 at star market
329,cooking baking,pantry,star market,Shop 2 times at Star Market,star market,shop 2 times at star market
330,cooking baking,pantry,star market,Spend $120 at Star Market,star market,spend 120 at star market
331,cooking baking,pantry,star market,Spend $220 at Star Market,star market,spend 220 at star market
332,cooking baking,pantry,star market,Any Star Market receipt,star market,any star market receipt
333,cooking baking,pantry,shaws,Spend $140 at Shaws,shaws,spend 140 at shaws
334,cooking baking,pantry,shaws,Spend $185 at Shaws,shaws,spend 185 at shaws
335,cooking baking,pantry,shaws,Shop 2 times at Shaw's,shaws,shop 2 times at shaws
336,cooking baking,pantry,shaws,Any Shaw's receipt,shaws,any shaws receipt
337,cooking baking,pantry,shaws,Spend $300 at Shaws,shaws,spend 300 at shaws
338,cooking baking,pantry,blue apron,Blue Apron Meal Kits,blue apron,blue apron meal kits
339,cooking baking,pantry,pavilions,Spend $155 at Pavilions,pavilions,spend 155 at pavilions
340,cooking baking,pantry,pavilions,Shop 2 times at Pavilions,pavilions,shop 2 times at pavilions
341,cooking baking,pantry,pavilions,Spend $100 at Pavilions,pavilions,spend 100 at pavilions
342,cooking baking,pantry,pavilions,Any Pavilions receipt,pavilions,any pavilions receipt
343,cooking baking,pantry,pavilions,Spend $270 at Pavilions,pavilions,spend 270 at pavilions
344,coffee,beverages,super coffee,"Super Coffee, 12 ounce single serve, buy 3",nan,super coffee 12 ounce single serve buy 3
345,coffee,beverages,super coffee,"Super Coffee, 12 ounce single serve",nan,super coffee 12 ounce single serve
346,coffee,beverages,camerons coffee,Cameron’s Coffee EcoPods,nan,camerons coffee ecopods
347,frozen fruits,frozen,frutero,"Frutero Ice Cream, 1 pint",nan,frutero ice cream 1 pint
348,frozen desserts,frozen,frutero,"Frutero Ice Cream, 1 pint",nan,frutero ice cream 1 pint
349,nut butters jam,pantry,nature valley,Nature Valley™ Protein Granola,nan,nature valley protein granola
350,candy,snacks,nature valley,Nature Valley™ Protein Granola,nan,nature valley protein granola
351,cereal granola toaster pastries,pantry,nature valley,Nature Valley™ Protein Granola,nan,nature valley protein granola
352,dips salsa,snacks,nature valley,Nature Valley™ Protein Granola,nan,nature valley protein granola
353,crackers,snacks,nature valley,Nature Valley™ Protein Granola,nan,nature valley protein granola
354,chips,snacks,nature valley,Nature Valley™ Protein Granola,nan,nature valley protein granola
355,nuts seeds,snacks,nature valley,Nature Valley™ Protein Granola,nan,nature valley protein granola
356,cookies,snacks,nature valley,Nature Valley™ Protein Granola,nan,nature valley protein granola
357,trail mix,snacks,nature valley,Nature Valley™ Protein Granola,nan,nature valley protein granola
358,fruit vegetable snacks,snacks,nature valley,Nature Valley™ Protein Granola,nan,nature valley protein granola
359,nut butters jam,pantry,country crock plant butter,Country Crock® Plant Based Butter at Walmart,walmart,country crock plant based butter at walmart
360,nut butters jam,pantry,country crock plant butter,Country Crock® Plant Based Cream at Walmart,walmart,country crock plant based cream at walmart
361,nut butters jam,pantry,butterball,"Butterball, select varieties, spend $10 at Dillons Food Store",dillons food store,butterball select varieties spend 10 at dillons food store
362,nut butters jam,pantry,butterball,"Butterball, select varieties, spend $10 at Ralphs",ralphs,butterball select varieties spend 10 at ralphs
363,nut butters jam,pantry,butterball,"Butterball, select varieties, Spend $10 at Ruler Foods",ruler foods,butterball select varieties spend 10 at ruler foods
364,nut butters jam,pantry,butterball,"Butterball, select varieties, spend $10 at King Soopers",king soopers,butterball select varieties spend 10 at king soopers
365,nut butters jam,pantry,butterball,"Butterball, select varieties, spend $10 at Fred Meyer",fred meyer,butterball select varieties spend 10 at fred meyer
366,nut butters jam,pantry,butterball,"Butterball, select varieties, spend $10 at Kroger",kroger,butterball select varieties spend 10 at kroger
367,nut butters jam,pantry,butterball,"Butterball, select varieties, spend $10 at Smith's",smiths,butterball select varieties spend 10 at smiths
368,nut butters jam,pantry,butterball,"Butterball, select varieties, spend $10 at Food 4 Less",food4less,butterball select varieties spend 10 at food 4 less
369,nut butters jam,pantry,butterball,"Butterball, select varieties, spend $10 at Fry's Food Store",frys food store,butterball select varieties spend 10 at frys food store
370,nut butters jam,pantry,butterball,"Butterball, select varieties, spend $10 at QFC",qfc,butterball select varieties spend 10 at qfc
371,nut butters jam,pantry,butterball,"Butterball, select varieties, spend $10 at Mariano's",marianos,butterball select varieties spend 10 at marianos
372,nut butters jam,pantry,butterball,"Butterball, select varieties, spend $10 at Pick 'n Save OR Metro Market",pick n save,butterball select varieties spend 10 at pick n save or metro market
373,frozen turkey,frozen meat,butterball,"Butterball, select varieties, spend $10 at Dillons Food Store",dillons food store,butterball select varieties spend 10 at dillons food store
374,frozen turkey,frozen meat,butterball,"Butterball, select varieties, spend $10 at Ralphs",ralphs,butterball select varieties spend 10 at ralphs
375,frozen turkey,frozen meat,butterball,"Butterball, select varieties, Spend $10 at Ruler Foods",ruler foods,butterball select varieties spend 10 at ruler foods
376,frozen turkey,frozen meat,butterball,"Butterball, select varieties, spend $10 at King Soopers",king soopers,butterball select varieties spend 10 at king soopers
377,frozen turkey,frozen meat,butterball,"Butterball, select varieties, spend $10 at Fred Meyer",fred meyer,butterball select varieties spend 10 at fred meyer
378,frozen turkey,frozen meat,butterball,"Butterball, select varieties, spend $10 at Kroger",kroger,butterball select varieties spend 10 at kroger
379,frozen turkey,frozen meat,butterball,"Butterball, select varieties, spend $10 at Smith's",smiths,butterball select varieties spend 10 at smiths
380,frozen turkey,frozen meat,butterball,"Butterball, select varieties, spend $10 at Food 4 Less",food4less,butterball select varieties spend 10 at food 4 less
381,frozen turkey,frozen meat,butterball,"Butterball, select varieties, spend $10 at Fry's Food Store",frys food store,butterball select varieties spend 10 at frys food store
382,frozen turkey,frozen meat,butterball,"Butterball, select varieties, spend $10 at QFC",qfc,butterball select varieties spend 10 at qfc
383,frozen turkey,frozen meat,butterball,"Butterball, select varieties, spend $10 at Mariano's",marianos,butterball select varieties spend 10 at marianos
384,frozen turkey,frozen meat,butterball,"Butterball, select varieties, spend $10 at Pick 'n Save OR Metro Market",pick n save,butterball select varieties spend 10 at pick n save or metro market
385,frozen desserts,frozen,ben and jerrys,"Ben & Jerry's Frozen Creme Brulee Non Dairy Dessert, 16 ounce",nan,ben jerrys frozen creme brulee non dairy dessert 16 ounce
386,frozen desserts,frozen,ben and jerrys,"Ben & Jerry's® Doggie Desserts, 4 count",nan,ben jerrys doggie desserts 4 count
387,frozen desserts,frozen,ben and jerrys,"Ben & Jerry's Frozen Sugar Cookie Dough Chunks, 8 ounce",nan,ben jerrys frozen sugar cookie dough chunks 8 ounce
388,frozen desserts,frozen,ben and jerrys,"Ben & Jerry's®, select varieties",nan,ben jerrys select varieties
389,frozen desserts,frozen,ben and jerrys,"Ben & Jerry's®, select varieties, spend $12",nan,ben jerrys select varieties spend 12
390,frozen desserts,frozen,ben and jerrys,"Ben & Jerry's® Doggie Desserts, 4 ounce, buy 2",nan,ben jerrys doggie desserts 4 ounce buy 2
391,frozen desserts,frozen,ben and jerrys,"Ben & Jerry's Wake & No Bake Cookie Dough Ice Cream, 16 ounce",nan,ben jerrys wake no bake cookie dough ice cream 16 ounce
392,frozen desserts,frozen,ben and jerrys,Ben & Jerry's® Churray For Churros™ Ice Cream,nan,ben jerrys churray for churros ice cream
393,frozen desserts,frozen,breyers,"Breyers Reese's Ice Cream, select varieties, at GIANT OR MARTIN’S",martins foods,breyers reeses ice cream select varieties at giant or martins
394,frozen breads doughs,frozen,breyers,"Breyers Reese's Ice Cream, select varieties, at GIANT OR MARTIN’S",martins foods,breyers reeses ice cream select varieties at giant or martins
395,frozen desserts,frozen,haagen dazs,"Häagen-Dazs®, 28 ounce, at GROCERY* stores",nan,hagen dazs 28 ounce at grocery stores
396,frozen desserts,frozen,klondike,"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",martins foods,reeses chocolate cones 8 count at giant or martins
397,frozen desserts,frozen,klondike,"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",giant food,reeses chocolate cones 8 count at giant or martins
398,frozen desserts,frozen,klondike,"Klondike Cones, spend $10 at Walmart ",walmart,klondike cones spend 10 at walmart
399,frozen desserts,frozen,klondike,Klondike Cones at Walmart ,walmart,klondike cones at walmart
400,frozen meals,frozen,klondike,"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",martins foods,reeses chocolate cones 8 count at giant or martins
401,frozen meals,frozen,klondike,"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",giant food,reeses chocolate cones 8 count at giant or martins
402,frozen meals,frozen,klondike,"Klondike Cones, spend $10 at Walmart ",walmart,klondike cones spend 10 at walmart
403,frozen meals,frozen,klondike,Klondike Cones at Walmart ,walmart,klondike cones at walmart
404,frozen desserts,frozen,talenti,Talenti Mini Bars,nan,talenti mini bars
405,frozen meals,frozen,talenti,Talenti Mini Bars,nan,talenti mini bars
406,frozen desserts,frozen,magnum ice cream,"Magnum Non-Dairy Hazelnut Crunch Ice Cream Bars, 3 count",nan,magnum non dairy hazelnut crunch ice cream bars 3 count
407,frozen desserts,frozen,good humor,Good Humor Viennetta Frozen Vanilla Cake,nan,good humor viennetta frozen vanilla cake
408,frozen desserts,frozen,good humor,"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",the giant co,reeses peanut butter bar 6 count at giant or martins
409,frozen desserts,frozen,good humor,"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",martins foods,reeses peanut butter bar 6 count at giant or martins
410,dips salsa,snacks,good humor,Good Humor Viennetta Frozen Vanilla Cake,nan,good humor viennetta frozen vanilla cake
411,dips salsa,snacks,good humor,"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",the giant co,reeses peanut butter bar 6 count at giant or martins
412,dips salsa,snacks,good humor,"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",martins foods,reeses peanut butter bar 6 count at giant or martins
413,frozen desserts,frozen,sara lee,"Sara Lee® bread, select varieties, buy 2 at Walmart®",walmart,sara lee bread select varieties buy 2 at walmart
414,frozen desserts,frozen,sara lee,"Sara Lee® bread select varieties, buy 2",walmart,sara lee bread select varieties buy 2
415,frozen desserts,frozen,sara lee,"Sara Lee® Delightful bread, buy 2",nan,sara lee delightful bread buy 2
416,cereal granola toaster pastries,pantry,sara lee,"Sara Lee® bread, select varieties, buy 2 at Walmart®",walmart,sara lee bread select varieties buy 2 at walmart
417,cereal granola toaster pastries,pantry,sara lee,"Sara Lee® bread select varieties, buy 2",walmart,sara lee bread select varieties buy 2
418,cereal granola toaster pastries,pantry,sara lee,"Sara Lee® Delightful bread, buy 2",nan,sara lee delightful bread buy 2
419,bread,pantry,sara lee,"Sara Lee® bread, select varieties, buy 2 at Walmart®",walmart,sara lee bread select varieties buy 2 at walmart
420,bread,pantry,sara lee,"Sara Lee® bread select varieties, buy 2",walmart,sara lee bread select varieties buy 2
421,bread,pantry,sara lee,"Sara Lee® Delightful bread, buy 2",nan,sara lee delightful bread buy 2
422,cheese,dairy,sara lee,"Sara Lee® bread, select varieties, buy 2 at Walmart®",walmart,sara lee bread select varieties buy 2 at walmart
423,cheese,dairy,sara lee,"Sara Lee® bread select varieties, buy 2",walmart,sara lee bread select varieties buy 2
424,cheese,dairy,sara lee,"Sara Lee® Delightful bread, buy 2",nan,sara lee delightful bread buy 2
425,bakery,deli bakery,sara lee,"Sara Lee® bread, select varieties, buy 2 at Walmart®",walmart,sara lee bread select varieties buy 2 at walmart
426,bakery,deli bakery,sara lee,"Sara Lee® bread select varieties, buy 2",walmart,sara lee bread select varieties buy 2
427,bakery,deli bakery,sara lee,"Sara Lee® Delightful bread, buy 2",nan,sara lee delightful bread buy 2
428,candy,snacks,mms,"M&M'S®, select sizes, buy 1",nan,mms select sizes buy 1
429,candy,snacks,mms,"M&M'S® chocolate candies, select varieties",nan,mms chocolate candies select varieties
430,candy,snacks,snickers,"SNICKERS®, select sizes, buy 1",nan,snickers select sizes buy 1
431,candy,snacks,snickers,"SNICKERS® chocolate candy bar, select varieties",nan,snickers chocolate candy bar select varieties
432,candy,snacks,twix,"TWIX®, select sizes",nan,twix select sizes
433,candy,snacks,twix,"TWIX®, select varieties",nan,twix select varieties
434,cookies,snacks,twix,"TWIX®, select sizes",nan,twix select sizes
435,cookies,snacks,twix,"TWIX®, select varieties",nan,twix select varieties
436,candy,snacks,skittles,"SKITTLES®, select varieties",nan,skittles select varieties
437,candy,snacks,skittles,"SKITTLES®, select sizes",nan,skittles select sizes
438,fruit juices,beverages,skittles,"SKITTLES®, select varieties",nan,skittles select varieties
439,fruit juices,beverages,skittles,"SKITTLES®, select sizes",nan,skittles select sizes
440,candy,snacks,lifesavers,LIFE SAVERS®,nan,life savers
441,candy,snacks,lifesavers,"LIFESAVERS®, any size, buy 1",nan,lifesavers any size buy 1
442,candy,snacks,starburst,"STARBURST®, select sizes, buy 1",nan,starburst select sizes buy 1
443,candy,snacks,starburst,"STARBURST®, select varieties",nan,starburst select varieties
444,fruit vegetable snacks,snacks,starburst,"STARBURST®, select sizes, buy 1",nan,starburst select sizes buy 1
445,fruit vegetable snacks,snacks,starburst,"STARBURST®, select varieties",nan,starburst select varieties
446,gum,candy,starburst,"STARBURST®, select sizes, buy 1",nan,starburst select sizes buy 1
447,gum,candy,starburst,"STARBURST®, select varieties",nan,starburst select varieties
448,candy,snacks,dove chocolate,"DOVE® Chocolate, select sizes, buy 1",nan,dove chocolate select sizes buy 1
449,candy,snacks,dove chocolate,"DOVE® chocolate, select varieties",nan,dove chocolate select varieties
450,candy,snacks,safeway,Shop 2 times at Safeway,safeway,shop 2 times at safeway
451,candy,snacks,safeway,Spend $210 at Safeway,safeway,spend 210 at safeway
452,candy,snacks,safeway,Any Safeway receipt,safeway,any safeway receipt
453,candy,snacks,safeway,Spend $115 at Safeway,safeway,spend 115 at safeway
454,candy,snacks,safeway,Spend $90 at Safeway,safeway,spend 90 at safeway
455,candy,snacks,marinela,"Marinela® sweet baked goods, buy 2",nan,marinela sweet baked goods buy 2
456,cookies,snacks,marinela,"Marinela® sweet baked goods, buy 2",nan,marinela sweet baked goods buy 2
457,snack cakes,snacks,marinela,"Marinela® sweet baked goods, buy 2",nan,marinela sweet baked goods buy 2
458,candy,snacks,albertsons,Any Albertsons receipt,albertsons,any albertsons receipt
459,candy,snacks,albertsons,Shop 2 times at Albertsons,albertsons,shop 2 times at albertsons
460,candy,snacks,albertsons,Spend $65 at Albertsons,albertsons,spend 65 at albertsons
461,candy,snacks,albertsons,Spend $110 at Albertsons,albertsons,spend 110 at albertsons
462,candy,snacks,albertsons,Spend $220 at Albertsons,albertsons,spend 220 at albertsons
463,candy,snacks,crunchmaster,"Crunchmaster® Crackers, spend $4",nan,crunchmaster crackers spend 4
464,crackers,snacks,crunchmaster,"Crunchmaster® Crackers, spend $4",nan,crunchmaster crackers spend 4
465,candy,snacks,envy,Envy Apples pre-packed bags,nan,envy apples pre packed bags
466,candy,snacks,envy,"Envy Apples, pre-packed bags",nan,envy apples pre packed bags
467,sauces marinades,pantry,envy,Envy Apples pre-packed bags,nan,envy apples pre packed bags
468,sauces marinades,pantry,envy,"Envy Apples, pre-packed bags",nan,envy apples pre packed bags
469,cereal granola toaster pastries,pantry,cheerios,Cheerios™ Oat Crunch Berry Cereal,nan,cheerios oat crunch berry cereal
470,cereal granola toaster pastries,pantry,ratio,:ratio™ KETO* Friendly Cereal OR Granola,nan,ratio keto friendly cereal or granola
471,yogurt,dairy,ratio,:ratio™ KETO* Friendly Cereal OR Granola,nan,ratio keto friendly cereal or granola
472,nuts seeds,snacks,ratio,:ratio™ KETO* Friendly Cereal OR Granola,nan,ratio keto friendly cereal or granola
473,cereal granola toaster pastries,pantry,kodiak cakes flapjack waffle mix,"Kodiak® products, select varieties, spend $10",nan,kodiak products select varieties spend 10
474,cereal granola toaster pastries,pantry,wonderworks,Wonderworks™ Keto* Friendly Cereal,nan,wonderworks keto friendly cereal
475,meal replacement beverages,beverages,gatorade,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",amazon,gatorade fast twitch 12 ounce 12 pack at amazon storefront
476,meal replacement beverages,beverages,gatorade,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",nan,gatorlyte or gatorade fit single serve bottle select varieties buy 2
477,meal replacement beverages,beverages,gatorade,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",fred meyer,gatorade fast twitch 12 ounce single serve buy 2 at kroger
478,meal replacement beverages,beverages,gatorade,"GATORADE® Fast Twitch®, 12-ounce single serve",nan,gatorade fast twitch 12 ounce single serve
479,meal replacement beverages,beverages,gatorade,"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",dillons grocery,gatorade fast twitch 12 ounce single serve at kroger
480,meal replacement beverages,beverages,gatorade,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",nan,gatorlyte or gatorade fit single serve bottle select varieties
481,meal replacement beverages,beverages,gatorade,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",food4less,gatorade fast twitch 12 ounce single serve buy 2 at kroger
482,sports drinks,sports drinks enhanced waters,gatorade,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",amazon,gatorade fast twitch 12 ounce 12 pack at amazon storefront
